index,id,title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,decade
1263,ts52922,Leah Remini: Scientology and the Aftermath,SHOW,2016,TV-14,46,documentation,['US'],3.0,tt6244192,9.0,5761.0,2010
1263,ts52922,Leah Remini: Scientology and the Aftermath,SHOW,2016,TV-14,46,history,['US'],3.0,tt6244192,9.0,5761.0,2010
1264,ts36015,Into the Badlands,SHOW,2015,TV-14,43,action,['US'],3.0,tt3865236,7.9,45628.0,2010
1264,ts36015,Into the Badlands,SHOW,2015,TV-14,43,drama,['US'],3.0,tt3865236,7.9,45628.0,2010
1265,ts21981,iZombie,SHOW,2015,TV-14,42,scifi,['US'],5.0,tt3501584,7.8,66488.0,2010
1265,ts21981,iZombie,SHOW,2015,TV-14,42,comedy,['US'],5.0,tt3501584,7.8,66488.0,2010
1265,ts21981,iZombie,SHOW,2015,TV-14,42,crime,['US'],5.0,tt3501584,7.8,66488.0,2010
1265,ts21981,iZombie,SHOW,2015,TV-14,42,drama,['US'],5.0,tt3501584,7.8,66488.0,2010
1265,ts21981,iZombie,SHOW,2015,TV-14,42,horror,['US'],5.0,tt3501584,7.8,66488.0,2010
1266,ts38710,Wynonna Earp,SHOW,2016,TV-14,43,action,"['US', 'CA']",4.0,tt4878326,7.3,22256.0,2010
1266,ts38710,Wynonna Earp,SHOW,2016,TV-14,43,scifi,"['US', 'CA']",4.0,tt4878326,7.3,22256.0,2010
1266,ts38710,Wynonna Earp,SHOW,2016,TV-14,43,western,"['US', 'CA']",4.0,tt4878326,7.3,22256.0,2010
1266,ts38710,Wynonna Earp,SHOW,2016,TV-14,43,drama,"['US', 'CA']",4.0,tt4878326,7.3,22256.0,2010
1266,ts38710,Wynonna Earp,SHOW,2016,TV-14,43,fantasy,"['US', 'CA']",4.0,tt4878326,7.3,22256.0,2010
1266,ts38710,Wynonna Earp,SHOW,2016,TV-14,43,thriller,"['US', 'CA']",4.0,tt4878326,7.3,22256.0,2010
1267,tm120609,"Hail, Caesar!",MOVIE,2016,PG-13,106,drama,['US'],1.0,tt0475290,6.3,132821.0,2010
1267,tm120609,"Hail, Caesar!",MOVIE,2016,PG-13,106,comedy,['US'],1.0,tt0475290,6.3,132821.0,2010
1267,tm120609,"Hail, Caesar!",MOVIE,2016,PG-13,106,music,['US'],1.0,tt0475290,6.3,132821.0,2010
1268,ts35253,Dark Matter,SHOW,2015,TV-14,43,scifi,['CA'],3.0,tt3116070,7.5,41867.0,2010
1268,ts35253,Dark Matter,SHOW,2015,TV-14,43,drama,['CA'],3.0,tt3116070,7.5,41867.0,2010
1268,ts35253,Dark Matter,SHOW,2015,TV-14,43,thriller,['CA'],3.0,tt3116070,7.5,41867.0,2010
1268,ts35253,Dark Matter,SHOW,2015,TV-14,43,action,['CA'],3.0,tt3116070,7.5,41867.0,2010
1269,ts35554,Scream: The TV Series,SHOW,2015,TV-14,43,crime,['US'],3.0,tt3921180,7.1,40082.0,2010
1269,ts35554,Scream: The TV Series,SHOW,2015,TV-14,43,horror,['US'],3.0,tt3921180,7.1,40082.0,2010
1269,ts35554,Scream: The TV Series,SHOW,2015,TV-14,43,thriller,['US'],3.0,tt3921180,7.1,40082.0,2010
1269,ts35554,Scream: The TV Series,SHOW,2015,TV-14,43,comedy,['US'],3.0,tt3921180,7.1,40082.0,2010
1269,ts35554,Scream: The TV Series,SHOW,2015,TV-14,43,drama,['US'],3.0,tt3921180,7.1,40082.0,2010
1270,ts38090,Versailles,SHOW,2015,TV-MA,54,drama,"['CA', 'FR']",3.0,tt3830558,7.9,16273.0,2010
1270,ts38090,Versailles,SHOW,2015,TV-MA,54,history,"['CA', 'FR']",3.0,tt3830558,7.9,16273.0,2010
1270,ts38090,Versailles,SHOW,2015,TV-MA,54,romance,"['CA', 'FR']",3.0,tt3830558,7.9,16273.0,2010
1270,ts38090,Versailles,SHOW,2015,TV-MA,54,war,"['CA', 'FR']",3.0,tt3830558,7.9,16273.0,2010
1270,ts38090,Versailles,SHOW,2015,TV-MA,54,documentation,"['CA', 'FR']",3.0,tt3830558,7.9,16273.0,2010
1270,ts38090,Versailles,SHOW,2015,TV-MA,54,comedy,"['CA', 'FR']",3.0,tt3830558,7.9,16273.0,2010
1270,ts38090,Versailles,SHOW,2015,TV-MA,54,european,"['CA', 'FR']",3.0,tt3830558,7.9,16273.0,2010
1271,tm233377,The Edge of Seventeen,MOVIE,2016,R,104,comedy,['US'],1.0,tt1878870,7.3,120488.0,2010
